Original,Scrambled
0,68947
1,173006
2,63121
3,39327
4,87225
5,112778
6,67757
7,22248
8,175813
9,101138
10,69681
11,184159
12,62669
13,131028
14,185522
15,6623
16,5417
17,161056
18,5058
19,110393
20,127813
21,106040
22,118387
23,82767
24,32526
25,54103
26,6553
27,83423
28,18051
29,113302
30,173995
31,48669
32,100515
33,122260
34,141809
35,4714
36,21604
37,94349
38,65008
39,184757
40,102911
41,21143
42,66654
43,174512
44,19748
45,107139
46,162961
47,49535
48,15382
49,128423
50,187653
51,64053
52,63812
53,32971
54,129632
55,2163
56,115763
57,139835
58,60087
59,96624
60,77564
61,95469
62,170501
63,175299
64,169058
65,163172
66,107778
67,129747
68,80938
69,185794
70,177400
71,53679
72,78147
73,142698
74,37168
75,67736
76,119819
77,16969
78,44012
79,46681
80,13765
81,126904
82,71973
83,141438
84,149079
85,85016
86,135202
87,177066
88,112000
89,81721
90,110204
91,102508
92,124253
93,48511
94,116835
95,9658
96,186383
97,60064
98,175110
99,14924
100,163908
101,125421
102,93710
103,160387
104,108921
105,60873
106,113381
107,40751
108,114157
109,60802
110,13411
111,37354
112,80586
113,47097
114,116793
115,158813
116,128690
117,126102
118,117280
119,36291
120,45835
121,94615
122,128459
123,57815
124,124145
125,81692
126,12309
127,57845
128,45589
129,186583
130,68312
131,47287
132,59166
133,134958
134,54664
135,143833
136,71369
137,91623
138,19075
139,7049
140,123175
141,131370
142,132966
143,104494
144,125867
145,119636
146,78965
147,72363
148,15749
149,159907
150,151281
151,40489
152,77984
153,67161
154,146307
155,144770
156,46581
157,78219
158,165097
159,175899
160,69222
161,23323
162,175136
163,49681
164,135269
165,187154
166,10830
167,80094
168,159432
169,61980
170,50441
171,94865
172,157857
173,95604
174,102145
175,15925
176,146479
177,101819
178,74147
179,126647
180,181103
181,123697
182,120599
183,88826
184,86076
185,7724
186,171318
187,148987
188,156425
189,144172
190,103757
191,113256
192,19921
193,66893
194,13650
195,175725
196,88147
197,86714
198,160547
199,42443
200,166363
201,30741
202,56066
203,128198
204,73562
205,48330
206,117523
207,172527
208,56222
209,177000
210,161684
211,142372
212,120179
213,115486
214,157712
215,108872
216,28866
217,32670
218,146173
219,163741
220,154702
221,126176
222,144143
223,102509
224,71006
225,98376
226,753
227,38386
228,142446
229,24245
230,120177
231,20815
232,55400
233,25394
234,19860
235,155176
236,28924
237,151580
238,66561
239,161429
240,86244
241,145114
242,135120
243,160037
244,179370
245,168136
246,83412
247,128507
248,46691
249,126952
250,105378
251,149621
252,115733
253,111293
254,116152
255,81854
256,71644
257,98019
258,102376
259,1953
260,167752
261,92614
262,4062
263,44324
264,165217
265,80769
266,24812
267,17581
268,136918
269,2710
270,112896
271,33359
272,4206
273,124302
274,39932
275,24735
276,105585
277,84450
278,67140
279,1924
280,147159
281,45004
282,61229
283,17791
284,68626
285,150320
286,37669
287,101580
288,112378
289,2717
290,94450
291,122646
292,65106
293,1843
294,53149
295,37848
296,159556
297,118979
298,115988
299,79926
300,129137
301,37693
302,77191
303,55093
304,30625
305,114696
306,80914
307,70553
308,137085
309,119945
310,61531
311,31939
312,26061
313,185504
314,37791
315,84286
316,122724
317,176737
318,108415
319,21962
320,2091
321,173675
322,30108
323,178659
324,57892
325,185917
326,45725
327,53073
328,133336
329,21279
330,166534
331,134722
332,49429
333,17252
334,47188
335,77404
336,18605
337,150521
338,88722
339,33352
340,128775
341,182237
342,118567
343,89068
344,126630
345,67316
346,167439
347,149267
348,57435
349,152907
350,83023
351,155936
352,179508
353,42568
354,36183
355,122045
356,5021
357,38530
358,99050
359,110618
360,187593
361,116541
362,42270
363,18168
364,173325
365,51759
366,52306
367,40490
368,63902
369,179119
370,139811
371,42915
372,18877
373,87399
374,91292
375,120536
376,30520
377,163652
378,87297
379,114616
380,63425
381,37434
382,163020
383,25235
384,133556
385,10191
386,15651
387,78521
388,8079
389,113457
390,102449
391,157311
392,137677
393,76245
394,113177
395,143682
396,31318
397,98469
398,150610
399,120670
400,185488
401,176999
402,142839
403,136060
404,172571
405,8014
406,51755
407,172061
408,106345
409,90952
410,59313
411,186840
412,184608
413,143385
414,67262
415,95838
416,83705
417,181866
418,145178
419,5189
420,153914
421,134953
422,163839
423,139397
424,5012
425,142596
426,30595
427,80147
428,58428
429,174326
430,107450
431,157761
432,55717
433,115680
434,147183
435,81724
436,92182
437,25900
438,176230
439,179385
440,175726
441,24463
442,147048
443,59895
444,44561
445,15464
446,45821
447,149417
448,17034
449,72596
450,11991
451,30435
452,143599
453,21149
454,153519
455,26130
456,109125
457,22268
458,156412
459,17485
460,181782
461,132044
462,94444
463,96626
464,129017
465,23531
466,171183
467,19558
468,70093
469,161669
470,20462
471,129476
472,104251
473,160685
474,709
475,36728
476,154828
477,129796
478,169613
479,116162
480,81253
481,177150
482,181766
483,92114
484,87476
485,160248
486,37484
487,146037
488,138610
489,58538
490,81889
491,73825
492,9213
493,181346
494,121840
495,183185
496,31792
497,117650
498,23738
499,35770
500,155425
501,43436
502,178584
503,111993
504,87975
505,17453
506,26342
507,56626
508,142644
509,37456
510,79741
511,51336
512,133246
513,176467
514,66150
515,73010
516,12300
517,36014
518,157612
519,172920
520,8823
521,150979
522,141308
523,42059
524,142475
525,32199
526,160094
527,136358
528,113616
529,40037
530,34415
531,106316
532,5500
533,140597
534,96950
535,144277
536,114948
537,85622
538,91469
539,175184
540,168064
541,99033
542,133300
543,169627
544,20942
545,92410
546,187278
547,146534
548,14525
549,14125
550,107255
551,98667
552,120654
553,16372
554,56026
555,21262
556,158941
557,175095
558,75393
559,137723
560,103116
561,48878
562,16130
563,147697
564,111665
565,67249
566,115856
567,143414
568,149057
569,53609
570,153930
571,76391
572,1607
573,123640
574,107210
575,100716
576,185866
577,123474
578,152709
579,132406
580,41927
581,10012
582,152728
583,94968
584,169146
585,46719
586,83269
587,155970
588,85611
589,75555
590,127750
591,74529
592,147149
593,132239
594,134092
595,161525
596,127010
597,139038
598,65242
599,45059
600,8629
601,111583
602,140341
603,60669
604,12018
605,175378
606,112095
607,136780
608,22005
609,152839
610,182870
611,99419
612,49958
613,62425
614,2790
615,47430
616,136227
617,35735
618,5939
619,22799
620,95941
621,157671
622,73564
623,25859
624,27060
625,140186
626,136510
627,113312
628,14730
629,103258
630,48394
631,152579
632,108044
633,152943
634,85202
635,113241
636,19336
637,170228
638,182184
639,137919
640,32357
641,25278
642,32648
643,66621
644,119818
645,59188
646,72423
647,108136
648,164048
649,32796
650,98141
651,305
652,158251
653,84404
654,14439
655,183778
656,136428
657,146515
658,61692
659,177850
660,167138
661,8170
662,86978
663,36407
664,136833
665,46140
666,161685
667,8304
668,76256
669,151464
670,128098
671,126444
672,46125
673,125934
674,113168
675,170022
676,15101
677,134143
678,8159
679,162110
680,41312
681,94088
682,2401
683,14732
684,36031
685,171794
686,63377
687,175412
688,103543
689,14973
690,79458
691,114683
692,103439
693,16526
694,138946
695,178287
696,31089
697,22264
698,23017
699,32549
700,164231
701,91084
702,54850
703,130200
704,27812
705,179607
706,31731
707,13731
708,27728
709,84355
710,65092
711,107288
712,94622
713,88790
714,108154
715,41431
716,117509
717,99903
718,93196
719,116991
720,160016
721,168548
722,121010
723,88630
724,155761
725,180852
726,103296
727,146018
728,139565
729,109415
730,62882
731,165732
732,83901
733,62197
734,140365
735,61019
736,95745
737,186953
738,123690
739,135141
740,54314
741,45817
742,99242
743,170669
744,113071
745,13026
746,58804
747,132599
748,127841
749,151953
750,101860
751,129417
752,112764
753,31979
754,3668
755,176509
756,111253
757,100100
758,186926
759,165605
760,10429
761,68854
762,164743
763,59762
764,108500
765,139326
766,6479
767,17047
768,126061
769,145760
770,7719
771,17159
772,60925
773,89949
774,65495
775,36044
776,169978
777,145507
778,114109
779,158093
780,56144
781,127128
782,102731
783,136251
784,98857
785,6842
786,123367
787,176775
788,71879
789,151669
790,164631
