Original,Scrambled

0,10971

1,186582

2,42973

3,99724

4,142654

5,221609

6,75770

7,133891

8,101928

9,116495

10,49899

11,172479

12,69536

13,229918

14,39389

15,31744

16,233522

17,56188

18,164920

19,155888

20,234168

21,12423

22,162505

23,91494

24,128547

25,118654

26,105475

27,112218

28,151278

29,24696

30,214899

31,214540

32,1819

33,186045

34,195008

35,123865

36,143122

37,57459

38,30363

39,45260

40,48753

41,65946

42,12456

43,147291

44,116841

45,88201

46,39403

47,217136

48,167839

49,132885

50,118427

51,67663

52,39852

53,89903

54,97434

55,171029

56,57946

57,202309

58,79102

59,89811

60,161710

61,186985

62,116268

63,5132

64,1140

65,108940

66,206659

67,183167

68,131279

69,32720

70,104228

71,124467

72,187039

73,82105

74,195467

75,46672

76,83511

77,233538

78,197809

79,130891

80,104044

81,92491

82,189154

83,50469

84,13686

85,62803

86,219365

87,138576

88,32076

89,201875

90,230706

91,221175

92,169258

93,228842

94,53233

95,62549

96,208178

97,169326

98,54816

99,221704

100,158879

101,128477

102,194229

103,74221

104,56950

105,150328

106,93115

107,42703

108,54896

109,105594

110,211024

111,106936

112,86288

113,93801

114,156611

115,29734

116,96679

117,191676

118,216769

119,124570

120,116714

121,152594

122,205123

123,80030

124,68460

125,126487

126,66247

127,36657

128,66593

129,104393

130,106839

131,204170

132,104983

133,110022

134,142458

135,165546

136,159618

137,227115

138,111089

139,131827

140,122247

141,190304

142,150033

143,134026

144,120674

145,78783

146,186207

147,108855

148,209492

149,8678

150,205404

151,125275

152,108587

153,165020

154,104282

155,88970

156,23641

157,160081

158,145978

159,176226

160,213025

161,205024

162,62123

163,190341

164,210086

165,203171

166,62370

167,105322

168,170849

169,193308

170,21671

171,44636

172,47978

173,143744

174,196632

175,134259

176,61521

177,27925

178,50093

179,163864

180,65883

181,124003

182,150503

183,189475

184,90652

185,130293

186,180344

187,16007

188,36976

189,48794

190,45257

191,68832

192,194430

193,191910

194,202232

195,134014

196,72742

197,212847

198,41711

199,76018

200,27238

201,181592

202,173376

203,192301

204,70877

205,222799

206,108776

207,191609

208,191474

209,2671

210,63884

211,105761

212,77856

213,216115

214,216727

215,31557

216,183282

217,19014

218,200080

219,149702

220,4232

221,139878

222,122386

223,98464

224,163318

225,42487

226,118652

227,40117

228,57881

229,8850

230,99112

231,68951

232,60331

233,180232

234,59072

235,204503

236,69923

237,59453

238,131908

239,54722

240,205314

241,55292

242,29957

243,171966

244,233523

245,184322

246,5722

247,69518

248,39692

249,62799

250,49263

251,102294

252,147911

253,153566

254,136924

255,197415

256,50453

257,126086

258,31439

259,76844

260,226955

261,49634

262,111911

263,29626

264,145402

265,131011

266,20915

267,193336

268,42026

269,166019

270,176524

271,122705

272,108443

273,143266

274,158332

275,69195

276,34541

277,15749

278,31010

279,57187

280,61633

281,113699

282,98919

283,161994

284,200906

285,16258

286,55332

287,6375

288,65960

289,150714

290,187213

291,216359

292,40638

293,182009

294,63474

295,74844

296,169107

297,102348

298,87174

299,21150

300,228471

301,187648

302,124912

303,61257

304,39374

305,159917

306,229062

307,61357

308,204526

309,59990

310,149586

311,157897

312,16456

313,231655

314,170406

315,110200

316,205501

317,157935

318,194350

319,207077

320,58380

321,12758

322,198008

323,31990

324,184147

325,77886

326,46919

327,55420

328,187075

329,116802

330,234342

331,215222

332,33613

333,135486

334,101718

335,12862

336,115261

337,7491

338,128188

339,143538

340,135251

341,83631

342,208852

343,24490

344,177661

345,197819

346,39679

347,111102

348,174763

349,53707

350,212574

351,149874

352,42480

353,92070

354,30213

355,73008

356,208875

357,211153

358,38423

359,130497

360,53739

361,44083

362,7711

363,133070

364,190606

365,180921

366,50546

367,195949

368,205040

369,142066

370,27093

371,137558

372,30489

373,71670

374,204401

375,203240

376,120396

377,6598

378,82860

379,182135

380,130304

381,27729

382,104730

383,150285

384,224566

385,49762

386,72123

387,68291

388,145845

389,117439

390,203914

391,193186

392,159925

393,81303

394,79291

395,209776

396,114137

397,105295

398,227620

399,5036

400,229423

401,11689

402,19082

403,219638

404,232639

405,147447

406,147923

407,220446

408,98195

409,55114

410,181732

411,98773

412,212892

413,83543

414,96907

415,126836

416,226198

417,63579

418,163541

419,16780

420,98383

421,135165

422,219834

423,76164

424,70614

425,166422

426,60784

427,103013

428,77301

429,99859

430,220113

431,152216

432,29773

433,223255

434,103525

435,158183

436,172943

437,130195

438,59647

439,86722

440,208887

441,139178

442,116797

443,99130

444,25042

445,115683

446,71732

447,134284

448,180042

449,49631

450,165732

451,143438

452,27288

453,101491

454,86027

455,174404

456,45326

457,5971

458,86137

459,124774

460,56217

461,172160

462,131749

463,215258

464,234256

465,173135

466,14236

467,28055

468,195306

469,9299

470,177753

471,14118

472,127023

473,178283

474,75921

475,132623

476,187701

477,33707

478,75935

479,2165

480,161371

481,185524

482,20414

483,36755

484,32864

485,22653

486,48418

487,204195

488,189501

489,30999

490,166408

491,13204

492,82182

493,107091

494,28064

495,159840

496,153032

497,48407

498,229403

499,172001

500,102256

501,13727

502,173300

503,115780

504,123884

505,128801

506,200582

507,207428

508,120490

509,176675

510,47387

511,164029

512,122142

513,85398

514,159907

515,48153

516,186947

517,203218

518,196678

519,67606

520,85198

521,60753

522,46763

523,60112

524,95823

525,39255

526,166196

527,98466

528,125430

529,144653

530,117526

531,217594

532,117365

533,207988

534,230114

535,69778

536,211626

537,202329

538,81301

539,64824

540,233566

541,49465

542,20114

543,84548

544,120919

545,142956

546,200762

547,183980

548,5461

549,61286

550,199896

551,207697

552,25183

553,214702

554,211073

555,25221

556,154959

557,11692

558,110968

559,74462

560,96229

561,18594

562,130486

563,162987

564,191760

565,179324

566,63850

567,55997

568,172997

569,24280

570,70127

571,191578

572,28981

573,83102

574,95256

575,186013

576,28465

577,143767

578,200050

579,11032

580,7100

581,138867

582,5241

583,155337

584,176455

585,11877

586,167574

587,598

588,95425

589,206871

590,60834

591,11329

592,219495

593,155632

594,90912

595,153683

596,103901

597,100340

598,39117

599,211444

600,13483

601,227897

602,35416

603,80838

604,70354

605,3162

606,57380

607,45451

608,40801

609,78400

610,115076

611,23719

612,182985

613,23567

614,55484

615,200442

616,159024

617,74982

618,218964

619,184280

620,94798

621,56050

622,205133

623,180631

624,191670

625,85484

626,178195

627,93527

628,119629

629,154970

630,229307

631,187099

632,121542

633,183125

634,42765

635,197608

636,121900

637,144127

638,109284

639,66272

640,157396

641,98021

642,115133

643,101334

644,100380

645,93585

646,14629

647,120362

648,58788

649,182563

650,82083

651,215340

652,52509

653,234735

654,190173

655,11595

656,99063

657,183895

658,229853

659,218513

660,235223

661,164237

662,105307

663,103003

664,213807

665,98540

666,20886

667,74435

668,83805

669,202507

670,85651

671,18114

672,65621

673,7396

674,132330

675,41397

676,207983

677,149488

678,82445

679,95285

680,212699

681,153508

682,128941

683,27835

684,37786

685,227242

686,171289

687,116614

688,172397

689,187880

690,113103

691,103629

692,102278

693,703

694,104635

695,205686

696,11178

697,201675

698,103123

699,25759

700,62824

701,22716

702,91060

703,17617

704,42411

705,175397

706,204311

707,215057

708,16261

709,163668

710,85553

711,146081

712,24655

713,58763

714,132694

715,89182

716,221409

717,64189

718,175952

719,125141

720,12774

721,80589

722,91163

723,3498

